review_scores_rating,accommodates,guests_included,availability_365,number_of_reviews_ltm,minimum_nights_avg_ntm,maximum_nights_avg_ntm,bathrooms,bedrooms,beds,host_listings_count,price,extra_people,security_deposit,cleaning_fee,host_response_rate,maximum_nights,minimum_nights,city,host_response_time,property_type,room_type,bed_type,cancellation_policy,is_location_exact,requires_license,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,neighbourhood_cleansed,first_review,last_review,host_since
97.0,3,2,85,52,1,30,1.0,1.0,2.0,1.0,170,25,100.0,100.0,100,30,1,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,True,37.76931,-122.43386000000001,Western Addition,3734.0,22.0,4089.0
94.0,2,2,62,36,1,5,1.0,1.0,1.0,2.0,99,20,0.0,10.0,100,5,1,San Francisco,within an hour,House,Private room,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.754020000000004,-122.45805,Inner Sunset,3741.0,13.0,3959.0
98.0,5,2,0,0,30,60,1.0,2.0,3.0,2.0,235,0,,100.0,80,60,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.74511,-122.42102,Bernal Heights,3815.0,798.0,3875.0
86.0,2,1,365,1,32,60,4.0,1.0,1.0,10.0,65,12,200.0,50.0,86,60,32,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.766690000000004,-122.4525,Haight Ashbury,3695.0,33.0,3768.0
93.0,2,1,365,0,32,90,4.0,1.0,1.0,10.0,65,12,200.0,50.0,86,90,32,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.76487,-122.45183,Haight Ashbury,1861.0,396.0,3768.0
97.0,4,2,90,1,6,1125,1.5,2.0,2.0,2.0,875,150,0.0,225.0,100,1125,6,San Francisco,within a few hours,House,Entire home/apt,Real Bed,moderate,True,True,False,True,True,False,True,True,37.77525,-122.43637,Western Addition,3670.0,107.0,3753.0
98.0,3,2,135,87,1,14,1.0,1.0,2.0,2.0,139,60,0.0,50.0,100,14,1,San Francisco,within an hour,Condominium,Private room,Real Bed,strict_14_with_grace_period,True,True,True,False,False,True,True,False,37.759190000000004,-122.42237,Mission,3725.0,7.0,3909.0
94.0,2,1,344,82,1,365,1.0,1.0,1.0,1.0,135,0,,50.0,100,365,1,San Francisco,within an hour,House,Private room,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.76259,-122.40543000000001,Potrero Hill,3639.0,6.0,3720.0
96.0,4,1,348,33,30,60,1.0,2.0,3.0,1.0,225,0,500.0,100.0,100,60,30,San Francisco,within a few hours,House,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,True,37.75874,-122.41327,Mission,3683.0,139.0,3693.0
99.0,2,2,332,0,30,180,1.0,0.0,1.0,0.0,120,0,500.0,75.0,100,180,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,True,False,True,True,37.79143,-122.41543999999999,Nob Hill,2851.0,1610.0,3685.0
89.0,3,6,347,1,30,1125,1.0,3.0,3.0,47.0,177,0,2500.0,208.0,100,1125,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.77187,-122.43858999999999,Haight Ashbury,3643.0,316.0,3678.0
91.0,5,1,286,1,30,1125,2.0,3.0,3.0,47.0,194,0,3000.0,208.0,100,1125,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.77355,-122.42436000000001,Western Addition,2782.0,56.0,3678.0
92.0,2,1,340,1,30,365,1.5,1.0,1.0,47.0,139,0,2500.0,156.0,100,365,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.785740000000004,-122.40798000000001,Downtown/Civic Center,2436.0,302.0,3678.0
80.0,2,1,365,0,32,60,3.0,1.0,2.0,10.0,85,12,200.0,50.0,86,60,32,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,False,True,False,False,False,True,True,True,37.77019,-122.44594,Haight Ashbury,2947.0,388.0,3768.0
64.0,2,1,365,0,32,90,3.0,1.0,2.0,10.0,85,12,200.0,50.0,86,90,32,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,False,True,False,False,False,True,True,True,37.76894,-122.44778000000001,Haight Ashbury,2351.0,1456.0,3768.0
98.0,1,1,7,38,3,27,1.0,1.0,1.0,1.0,79,0,,10.0,100,27,3,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,True,True,True,False,False,True,True,True,37.76075,-122.43032,Castro/Upper Market,3559.0,11.0,3794.0
95.0,4,1,292,2,30,367,1.0,2.0,3.0,1.0,122,40,899.0,279.0,100,367,30,San Francisco,within an hour,Townhouse,Entire home/apt,Real Bed,strict_14_with_grace_period,False,True,False,True,True,True,True,True,37.762029999999996,-122.45455,Inner Sunset,2555.0,43.0,3634.0
97.0,3,2,296,19,3,10,1.0,1.0,2.0,1.0,215,35,,80.0,100,10,3,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,True,37.754909999999995,-122.42246000000002,Mission,3555.0,23.0,3614.0
96.0,4,4,365,0,90,365,2.0,2.0,2.0,4.0,450,100,5000.0,250.0,100,365,90,San Francisco,within a few hours,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,False,True,False,False,False,False,True,True,37.78647,-122.39072,South of Market,3228.0,1109.0,3659.0
96.0,3,2,317,3,30,365,1.0,0.0,1.0,1.0,107,20,,,,365,30,San Francisco,,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,False,37.74888,-122.42981999999999,Noe Valley,3417.0,135.0,3558.0
97.0,2,1,59,55,2,29,1.0,1.0,1.0,3.0,110,0,130.0,30.0,100,29,2,San Francisco,within a few hours,Townhouse,Private room,Real Bed,strict_14_with_grace_period,True,True,False,True,True,True,True,True,37.77252,-122.43216000000001,Western Addition,2869.0,13.0,3550.0
98.0,2,1,358,3,30,30,1.0,1.0,1.0,1.0,125,25,500.0,100.0,,30,30,San Francisco,,Loft,Entire home/apt,Real Bed,moderate,True,True,True,True,True,False,True,True,37.7958,-122.41533000000001,Nob Hill,3440.0,250.0,3525.0
